HUR,TAXREV,GDP,CPI
10.05,40.523,1541858.123,2.537687
9.008333,40.135,1597502.924,2.785166
8.475,39.619,1639680.501,2.46532
8.433333,39.953,1673454.381,2.672559
8.05,39.225,1704882.532,2.206736
7.783333,39.047,1746658.11,1.985294
6.866667,40.464,1886859.551,2.090843
6.15,41.564,1995406.894,1.829738
6.775,41.596,2089717.307,3.347834
7.875,41.97,2044893.204,0.7747682
8.541667,41.701,2083996.379,1.525516
8.508333,41.637,2173169.961,2.780633
10.88333,43.617,2172383.108,3.041363
12.36667,43.828,2187376.607,1.219992
12.825,43.325,2200256.409,0.2410575
12,42.958,2240922.483,0.03878675
11.75,42.242,2420672.141,-0.0940214
11.25833,41.912,2517184.468,1.226533
10.6,41.731,2600326.872,1.137488
9.933333,42.27,2735577.365,0.6112469
9.3,42.653,2564455.924,0.1377076
9.558333,43.289,2760717.633,1.873783
